Point ID,Lat Offset,Lon Offset,GC Code,Latitude,Longitude,Lat,Lon,Posted,,Final Latitude Offset,Final Longitude Offset,Final Latitude,Final Longitude,F-Lat,F-Lon,Final
Magn,1.250000,,,,,,,,,,,,,,,
Center,0.000000,0.000000,https://coord.info/GC7MRCH,41.990000,-92.548830,N 41 59.400000,W 92 32.929800,N 41 59.400000 W 92 32.929800,,0.000,0.019,41.9900,-92.5682,N 41 59.4000,W 92 34.0948,N 41 59.4000 W 92 34.0948
Top,0.005588,0.000000,https://coord.info/GC7MRD7,41.996985,-92.548830,N 41 59.819100,W 92 32.929800,N 41 59.819100 W 92 32.929800,,0.000,0.019,41.9970,-92.5682,N 41 59.8191,W 92 34.0948,N 41 59.8191 W 92 34.0948
2,0.006654,0.001590,https://coord.info/GC7MREG,41.998318,-92.546843,N 41 59.899050,W 92 32.810550,N 41 59.899050 W 92 32.810550,,0.000,0.019,41.9983,-92.5663,N 41 59.8990,W 92 33.9755,N 41 59.8990 W 92 33.9755
3,0.006641,0.003350,https://coord.info/GC7MRF7,41.998301,-92.544643,N 41 59.898075,W 92 32.678550,N 41 59.898075 W 92 32.678550,,0.000,0.019,41.9983,-92.5641,N 41 59.8981,W 92 33.8435,N 41 59.8981 W 92 33.8435
4,0.005739,0.004786,https://coord.info/GC7MRFC,41.997174,-92.542848,N 41 59.830425,W 92 32.570850,N 41 59.830425 W 92 32.570850,,0.000,0.019,41.9972,-92.5623,N 41 59.8304,W 92 33.7358,N 41 59.8304 W 92 33.7358
5,0.004316,0.005162,https://coord.info/GC7MRFR,41.995395,-92.542378,N 41 59.723700,W 92 32.542650,N 41 59.723700 W 92 32.542650,,0.000,0.019,41.9954,-92.5618,N 41 59.7237,W 92 33.7077,N 41 59.7237 W 92 33.7077
6,0.002842,0.003983,https://coord.info/GC7MRGQ,41.993553,-92.543851,N 41 59.613150,W 92 32.631075,N 41 59.613150 W 92 32.631075,,0.000,0.019,41.9936,-92.5633,N 41 59.6132,W 92 33.7961,N 41 59.6132 W 92 33.7961
7,0.001648,0.002359,https://coord.info/GC7MRGZ,41.992060,-92.545881,N 41 59.523600,W 92 32.752875,N 41 59.523600 W 92 32.752875,,0.000,0.019,41.9921,-92.5653,N 41 59.5236,W 92 33.9179,N 41 59.5236 W 92 33.9179
8,0.000868,0.001240,https://coord.info/GC7MRHA,41.991085,-92.547280,N 41 59.465100,W 92 32.836800,N 41 59.465100 W 92 32.836800,,0.000,0.019,41.9911,-92.5667,N 41 59.4651,W 92 34.0018,N 41 59.4651 W 92 34.0018
9,-0.001327,0.000808,https://coord.info/GC7MRJ0,41.988341,-92.547820,N 41 59.300475,W 92 32.869200,N 41 59.300475 W 92 32.869200,,0.000,0.019,41.9883,-92.5672,N 41 59.3005,W 92 34.0342,N 41 59.3005 W 92 34.0342
10,-0.002817,0.001650,https://coord.info/GC7MRJF,41.986479,-92.546768,N 41 59.188725,W 92 32.806050,N 41 59.188725 W 92 32.806050,,0.000,0.019,41.9865,-92.5662,N 41 59.1887,W 92 33.9711,N 41 59.1887 W 92 33.9711
11,-0.004330,0.002770,https://coord.info/GC7MRM5,41.984588,-92.545368,N 41 59.075250,W 92 32.722050,N 41 59.075250 W 92 32.722050,,0.000,0.019,41.9846,-92.5648,N 41 59.0752,W 92 33.8871,N 41 59.0752 W 92 33.8871
12,-0.005044,0.004953,https://coord.info/GC7MRME,41.983695,-92.542639,N 41 59.021700,W 92 32.558325,N 41 59.021700 W 92 32.558325,,0.000,0.019,41.9837,-92.5621,N 41 59.0217,W 92 33.7233,N 41 59.0217 W 92 33.7233
13,-0.004509,0.007048,https://coord.info/GC7MRMN,41.984364,-92.540020,N 41 59.061825,W 92 32.401200,N 41 59.061825 W 92 32.401200,,0.000,0.019,41.9844,-92.5594,N 41 59.0618,W 92 33.5662,N 41 59.0618 W 92 33.5662
14,-0.003065,0.007747,https://coord.info/GC7MRMX,41.986169,-92.539146,N 41 59.170125,W 92 32.348775,N 41 59.170125 W 92 32.348775,,0.000,0.019,41.9862,-92.5586,N 41 59.1701,W 92 33.5138,N 41 59.1701 W 92 33.5138
15,-0.001702,0.006896,https://coord.info/GC7MRN2,41.987873,-92.540210,N 41 59.272350,W 92 32.412600,N 41 59.272350 W 92 32.412600,,0.000,0.019,41.9879,-92.5596,N 41 59.2724,W 92 33.5776,N 41 59.2724 W 92 33.5776
16,-0.000875,0.008905,https://coord.info/GC7MRNA,41.988906,-92.537699,N 41 59.334375,W 92 32.261925,N 41 59.334375 W 92 32.261925,,0.000,0.019,41.9889,-92.5571,N 41 59.3344,W 92 33.4269,N 41 59.3344 W 92 33.4269
